id	issue	acceptance_criterion	status	test	mutation_proven
6.4	6	A run needing confirmation with no TTY errors before the first dial, proven by a test	done	cli.TestProbeWithoutConfirmSendAndWithoutTerminalRefusesBeforeDialing	not-yet
6.5	6	The rate limiter defaults to 6 per minute and is asserted by a timing test	done	gate.TestDefaultRateIsSixPerMinute	not-yet
6.6	6	An attempt to raise the rate above the default is refused	done	gate.TestRateAboveDefaultIsRefused	not-yet
6.7	6	Repeated Deferrals back off exponentially and abort past a threshold	done	gate.TestDeferralBackoffIsExponential, TestBackoffAbortsPastThreshold	not-yet
7.1	7	An interface covering TXT, A/AAAA, MX, PTR and NS that the standard resolver satisfies	done	resolve.TestSystemResolverSatisfiesInterface	not-yet
7.2	7	A fixture resolver seeded from a table, with no network access	done	resolve.TestFixtureMultiStringTXTArrivesConcatenated	not-yet
7.3	7	Multi-string TXT records arrive as a single concatenated string	done	resolve.TestFixtureMultiStringTXTArrivesConcatenated	not-yet
7.4	7	Non-existent name and no-record-of-this-type are distinguishable to callers	done	resolve.TestNotFoundAndNoRecordsAreDistinguishable	not-yet
7.5	7	The real resolver is forced to the pure-Go implementation, with no CGO	done	resolve.TestSystemResolverSatisfiesInterface	not-yet
7.6	7	A test proves the suite makes no outbound DNS query	done	resolve.TestForbidNetworkAlsoBlocksTheSystemResolver	not-yet
8.1	8	Table-driven tests over zone fixtures cover nested includes, redirect, and each Verdict class	done	spf.TestEvaluate	not-yet
8.2	8	The Matched Mechanism is reported correctly for each case	done	spf.TestEvaluate (wantMech column)	not-yet
8.3	8	Over-limit records are detected and reported as a finding	done	spf.TestLookupLimitExceededIsAFinding	not-yet
8.4	8	Addresses are normalised before matching, with a test for the IPv4-mapped case	done	spf.TestAddressNormalisedBeforeMatching	not-yet
8.5	8	Addresses carrying a zone are rejected rather than silently mismatched	done	spf.TestZonedAddressRejected	not-yet
8.6	8	Each `ip4` fixture case has an `ip6` twin	done	spf.TestEveryIPv4CaseHasIPv6Twin	not-yet
8.7	8	Without `--client-ip`, `auth` renders the tree and reports the Verdict as not evaluated	done	cli.TestAuthWithoutClientIPReportsNotEvaluated	not-yet
8.8	8	`auth` opens no TCP connection, proven by a test	done	cli.TestAuthOpensNoTCPConnection	not-yet
9.1	9	Key records are parsed for version, key type, the public key and flags	done	dkim.TestParseKeyRecord	not-yet
9.2	9	Revoked, empty and test-mode keys are reported as faults	done	dkim.TestKeyFaultsReported	not-yet
9.3	9	Discovery finds a seeded selector among decoys in the fixtures	done	dkim.TestDiscoveryFindsSeededSelectorAmongDecoys	not-yet
9.4	9	`--selector` is repeatable and adds to the built-in list	done	dkim.TestSelectorFlagExtendsBuiltInList	not-yet
9.5	9	The effective list probed appears in both renderings	done	dkim.TestEffectiveSelectorListAppearsInBothRenderings	not-yet
9.6	9	Discovery query volume is bounded, and the bound is stated in the output	done	dkim.TestDiscoveryQueryVolumeBoundedAndStated	not-yet
10.1	10	Policy, subdomain policy, both alignment modes, sampling rate and the reporting addresses are parsed	done	dmarc.TestParsePolicyRecord	not-yet
10.2	10	Alignment is computed for both SPF and DKIM, in relaxed and strict modes	done	dmarc.TestAlignment	not-yet
10.3	10	Fixtures cover strict versus relaxed, subdomain policy, and a missing record resolving to none	done	dmarc.TestPolicyResolution	not-yet
10.4	10	The sampling rate is reported and never applied, with a test proving repeated runs agree	done	dmarc.TestSamplingRateReportedNotApplied	not-yet
10.5	10	A null Envelope Sender moves the SPF subject to the HELO Identity, and the Verdict names which subject it evaluated	done	spf.TestNullEnvelopeSenderMovesSubjectToHELO	not-yet
11.1	11	PLAIN and LOGIN both work against the test double	done	smtpconv.TestAuthMechanisms	not-yet
11.2	11	Authentication over a non-TLS connection is refused, with a test	done	smtpconv.TestAuthRefusedWithoutTLS	not-yet
11.3	11	Credentials are read from the environment and the config file, and never from a flag	done	cli.TestCredentialsFromConfigNeverFromAFlag	yes
11.4	11	A test asserts the credential appears in neither rendering, in either mechanism	done	smtpconv.TestCredentialNeverReachesEitherRendering	not-yet
11.5	11	The advertised mechanism list is recorded, and an unsupported-mechanism case reports clearly	done	smtpconv.TestAdvertisedMechanismsRecordedAndUnsupportedReported	not-yet
12.1	12	Against a test double rejecting one specific Triple, that Cell resolves Rejected and all others Accepted	done	matrix.TestRejectedTripleIsolated	not-yet
12.2	12	A fresh connection per Cell, asserted by counting connections at the test double	done	matrix.TestFreshConnectionPerCell	not-yet
12.3	12	A greylisting host produces an Inconclusive Cell, and a retry that succeeds resolves it to Accepted	done	matrix.TestGreylistedCellInconclusiveThenAcceptedOnRetry	not-yet
12.4	12	An aborted sweep leaves Unrun Cells that render distinctly from Inconclusive ones	done	matrix.TestAbortedSweepLeavesUnrunCellsRenderedDistinctly	not-yet
12.5	12	`--rate` is honoured and cannot be raised above the default	done	cli.TestMatrixRateCannotBeRaisedAboveTheDefault	yes
12.6	12	The matrix exits 1 if any Cell is Rejected, otherwise 4 if any is Inconclusive or Unrun, otherwise 0	done	cli.TestMatrixExitCodes	yes
12.7	12	Runs clean under the race detector	done	matrix.TestConcurrentSweepIsRaceFree	not-yet
13.1	13	Golden-file tests cover alignment failure, over-limit SPF, TLS refusal and greylisting	done	explain.TestGoldenAlignmentFailure, TestGoldenOverLimitSPF, TestGoldenTLSRefusal, TestGoldenGreylisting	not-yet
13.2	13	Observed Outcomes and computed Verdicts are distinguishable in the output	done	explain.TestObservedAndComputedAreDistinguishable	not-yet
13.3	13	An ambiguous case says so and names the disambiguating Probe	done	explain.TestAmbiguousCaseNamesDisambiguatingProbe	not-yet
13.4	13	A matrix Transcript produces a run-level Diagnosis plus a per-Cell line	done	explain.TestMatrixTranscriptYieldsRunAndPerCellDiagnosis	not-yet
13.5	13	Unreadable input exits with the usage code	done	cli.TestExplainUnreadableInputExitsUsage	yes
13.6	13	No Diagnosis ever claims a message was delivered	done	explain.TestNoDiagnosisClaimsDelivery	not-yet
14.1	14	One report combines Transcript, Verdicts, matrix and Diagnosis in both formats	done	report.TestCombinedReportContainsAllSections	not-yet
14.2	14	Both renderings are always written to the output directory, defaulting to a timestamped one	done	cli.TestJSONFlagChangesOnlyStdout	yes
14.3	14	The JSON flag changes only what standard output carries	done	cli.TestJSONFlagChangesOnlyStdout	not-yet
14.4	14	A mistyped config key is an error naming the key	done	report.TestUnknownConfigKeyIsErrorNamingKey	not-yet
14.5	14	A key set to zero is distinguishable from an absent key, with tests for the rate and verification cases	done	report.TestZeroValueDistinctFromAbsent	not-yet
14.6	14	Explicit flags beat config values	done	report.TestExplicitFlagBeatsConfigValue	not-yet
14.7	14	An end-to-end run against the test double yields a report that needs no source reading, and exit codes are asserted	done	cli.TestEndToEndReportAgainstDouble	yes
14.8	14	Artefacts survive concurrent runs: written by rename, never truncated in place	done	report.TestArtefactsAreNeverTruncatedInPlace, report.TestFailedWriteLeavesThePreviousArtefactIntact, report.TestConcurrentWritesLeaveParseableFiles	yes
